name,version,license,repo
hardlink,1.3-6.el8.x86_64,"GPLv2+",@anaconda
harfbuzz,1.7.5-3.el8.x86_64,"MIT",@appstream
hdparm,9.54-4.el8.x86_64,"BSD",@anaconda
hicolor-icon-theme,0.17-2.el8.noarch,"GPLv2+",@appstream
hostname,3.20-7.el8.0.1.x86_64,"GPLv2+",@baseos
httpd,2.4.37-62.module_el8+657+88b2113f.x86_64,"ASL 2.0",@appstream
httpd-filesystem,2.4.37-62.module_el8+657+88b2113f.noarch,"ASL 2.0",@appstream
httpd-tools,2.4.37-62.module_el8+657+88b2113f.x86_64,"ASL 2.0",@appstream
hwdata,0.314-8.19.el8.noarch,"GPLv2+",@baseos
ima-evm-utils,1.3.2-12.el8.x86_64,"GPLv2",@anaconda
info,6.5-7.el8_5.x86_64,"GPLv3+",@anaconda
initscripts,10.00.18-1.el8.x86_64,"GPLv2",@anaconda
ipa-client,4.9.12-7.module_el8+656+9ecf9478.x86_64,"GPLv3+",@appstream
ipa-client-common,4.9.12-7.module_el8+656+9ecf9478.noarch,"GPLv3+",@appstream
ipa-common,4.9.12-7.module_el8+656+9ecf9478.noarch,"GPLv3+",@appstream
ipa-selinux,4.9.12-7.module_el8+656+9ecf9478.noarch,"GPLv3+",@appstream
ipcalc,0.2.4-4.el8.x86_64,"GPLv2+",@anaconda
ipmitool,1.8.18-19.el8.x86_64,"BSD",@appstream
iproute,6.2.0-2.el8.x86_64,"GPL-2.0-or-later AND NIST-PD",@baseos
iprutils,2.4.19-1.el8.x86_64,"CPL",@anaconda
ipset,7.1-1.el8.x86_64,"GPLv2",@anaconda
ipset-libs,7.1-1.el8.x86_64,"GPLv2",@anaconda
iptables,1.8.5-8.el8.x86_64,"GPLv2 and Artistic 2.0 and ISC",@baseos
iptables-ebtables,1.8.5-8.el8.x86_64,"GPLv2 and Artistic 2.0 and ISC",@baseos
iptables-libs,1.8.5-8.el8.x86_64,"GPLv2 and Artistic 2.0 and ISC",@baseos
iptstate,2.2.6-6.el8.x86_64,"zlib",@anaconda
iputils,20180629-11.el8.x86_64,"BSD and GPLv2+",@baseos
irqbalance,1.9.2-1.el8.x86_64,"GPLv2",@baseos
jansson,2.14-1.el8.x86_64,"MIT",@anaconda
jasper-libs,2.0.14-5.el8.x86_64,"JasPer",@appstream
java-1.8.0-openjdk,1.8.0.362.b08-3.el8.x86_64,"ASL 1.1 and ASL 2.0 and BSD and BSD with advertising and GPL+ and GPLv2 and GPLv2 with exceptions and IJG and LGPLv2+ and MIT and MPLv2.0 and Public Domain and W3C and zlib",
java-1.8.0-openjdk-headless,1.8.0.362.b08-3.el8.x86_64,"ASL 1.1 and ASL 2.0 and BSD and BSD with advertising and GPL+ and GPLv2 and GPLv2 with exceptions and IJG and LGPLv2+ and MIT and MPLv2.0 and Public Domain and W3C and zlib",
javapackages-filesystem,5.3.0-1.module_el8.0.0+11+5b8c10bd.noarch,"BSD",@appstream
jbigkit-libs,2.1-14.el8.x86_64,"GPLv2+",@appstream
jq,1.6-7.el8.x86_64,"MIT and ASL 2.0 and CC-BY and GPLv3",@appstream
json-c,0.13.1-3.el8.x86_64,"MIT",@anaconda
